ClassNo,Class,gradeId,className,branchId,branchName
1,Pre KG,1,Pre KG,1,Kindergarten
2,LKG - A,2,LKG,1,Kindergarten
3,LKG - B,2,LKG,1,Kindergarten
4,UKG - A,3,UKG,1,Kindergarten
5,UKG - B,3,UKG,1,Kindergarten
6,UKG - C,3,UKG,1,Kindergarten
7,I - A,4,I,2,Primary
8,I - B,4,I,2,Primary
9,I - C,4,I,2,Primary
10,I - D,4,I,2,Primary
11,II - A,5,II,2,Primary
12,II - B,5,II,2,Primary
13,II - C,5,II,2,Primary
14,II - D,5,II,2,Primary
15,III - A,6,III,2,Primary
16,III - B,6,III,2,Primary
17,III - C,6,III,2,Primary
18,III - D,6,III,2,Primary
19,IV - A,7,IV,2,Primary
20,IV - B,7,IV,2,Primary
21,IV - C,7,IV,2,Primary
22,IV - D,7,IV,2,Primary
23,V - A,8,V,2,Primary
24,V - B,8,V,2,Primary
25,V - C,8,V,2,Primary
26,V - D,8,V,2,Primary
27,VI - A,9,VI,3,Higher
28,VI - B,9,VI,3,Higher
29,VI - C,9,VI,3,Higher
30,VI - D,9,VI,3,Higher
31,VII - A,10,VII,3,Higher
32,VII - B,10,VII,3,Higher
33,VII - C,10,VII,3,Higher
34,VII - D,10,VII,3,Higher
35,VIII - A,11,VIII,3,Higher
36,VIII - B,11,VIII,3,Higher
37,VIII - C,11,VIII,3,Higher
38,IX - A,12,IX,3,Higher
39,IX - B,12,IX,3,Higher
40,IX - C,12,IX,3,Higher
41,X - A,13,X,3,Higher
42,X - B,13,X,3,Higher
43,X - C,13,X,3,Higher
