AdmissionNo,Total_Fees,Total_Fee_Paid,Discount_Concession,Total_Due,academic_year_id
16973,10500,10500,0,0,1
17131,10500,10500,0,0,1
17096,10500,10500,0,0,1
17130,10500,10500,0,0,1
17140,10500,10500,0,0,1
17085,10500,10500,0,0,1
17158,10500,5250,0,5250,1
17159,10500,10500,0,0,1
17160,10500,10500,0,0,1
17163,10500,10500,0,0,1
16922,24200,24200,0,0,1
17103,24200,24200,0,0,1
16938,24200,24200,0,0,1
16921,24200,23700,500,0,1
17093,24200,24200,0,0,1
17078,24200,24200,0,0,1
16919,24200,24200,0,0,1
16969,24200,18150,6050,0,1
16966,24200,24200,0,0,1
17002,24200,18150,0,6050,1
16934,24200,24200,0,0,1
16979,24200,24200,0,0,1
16923,24200,24200,0,0,1
16986,24200,24200,0,0,1
17118,24200,24200,0,0,1
17083,24200,24200,0,0,1
16942,24200,24200,0,0,1
17048,24200,24200,0,0,1
16463,24200,24200,0,0,1
17075,24200,24200,0,0,1
17073,24200,24200,0,0,1
16997,24200,24200,0,0,1
17036,24200,24200,0,0,1
17099,24200,24200,0,0,1
16926,24200,12100,12100,0,1
17146,24200,24200,0,0,1
17148,24200,24200,0,0,1
16920,24200,24200,0,0,1
16932,24200,24200,0,0,1
16918,24200,24200,0,0,1
16913,24200,24200,0,0,1
16987,24200,24200,0,0,1
16965,24200,24200,0,0,1
16912,24200,24200,0,0,1
16968,24200,24200,0,0,1
17126,24200,18150,6050,0,1
16924,24200,24200,0,0,1
16998,24200,24200,0,0,1
17022,24200,24200,0,0,1
16962,24200,24200,0,0,1
17001,24200,24200,0,0,1
16961,24200,24200,0,0,1
17105,24200,24200,0,0,1
17080,24200,24200,0,0,1
16994,24200,24200,0,0,1
17049,24200,24200,0,0,1
16977,24200,24200,0,0,1
17004,24200,24200,0,0,1
16996,24200,24200,0,0,1
17057,24200,24200,0,0,1
17005,24200,24200,0,0,1
17047,24200,24200,0,0,1
16929,24200,24200,0,0,1
16917,24200,18150,6050,0,1
16914,24200,24200,0,0,1
16925,24200,24200,0,0,1
16915,24200,24200,0,0,1
16984,24200,12100,12100,0,1
17114,24200,24200,0,0,1
16963,24200,24200,0,0,1
16939,24200,24200,0,0,1
17000,24200,24200,0,0,1
17003,24200,24200,0,0,1
16951,24200,24200,0,0,1
17106,24200,24200,0,0,1
16985,24200,23700,500,0,1
16958,24200,24200,0,0,1
16940,24200,24200,0,0,1
16943,24200,24200,0,0,1
17133,24200,24200,0,0,1
17136,24200,24200,0,0,1
17153,24200,24200,0,0,1
17154,24200,24200,0,0,1
17164,24200,24200,0,0,1
16775,24200,24200,0,0,1
16637,24200,18150,6050,0,1
16750,24200,24200,0,0,1
16689,24200,24200,0,0,1
16930,24200,24200,0,0,1
16639,24200,24200,0,0,1
17109,24200,24200,0,0,1
17074,24200,24200,0,0,1
16981,24200,24200,0,0,1
17089,24200,24200,0,0,1
16675,24200,24200,0,0,1
17016,24200,24200,0,0,1
16866,24200,24200,0,0,1
16681,24200,24200,0,0,1
16667,24200,24200,0,0,1
16648,24200,24200,0,0,1
16652,24200,24200,0,0,1
17008,24200,24200,0,0,1
16867,24200,24200,0,0,1
16710,24200,24200,0,0,1
16685,24200,24200,0,0,1
17009,24200,24200,0,0,1
17082,24200,24200,0,0,1
16654,24200,18150,6050,0,1
16820,24200,24200,0,0,1
16991,24200,24200,0,0,1
16671,24200,24200,0,0,1
16698,24200,24200,0,0,1
17155,24200,24200,0,0,1
16663,24200,24200,0,0,1
16662,24200,24200,0,0,1
16655,24200,24200,0,0,1
16670,24200,24200,0,0,1
16711,24200,24200,0,0,1
16715,24200,24200,0,0,1
16638,24200,24200,0,0,1
16677,24200,24200,0,0,1
16691,24200,24200,0,0,1
16869,24200,24200,0,0,1
16786,24200,24200,0,0,1
16687,24200,24200,0,0,1
16790,24200,24200,0,0,1
16804,24200,24200,0,0,1
16949,24200,24200,0,0,1
16831,24200,24200,0,0,1
16967,24200,23700,500,0,1
16899,24200,24200,0,0,1
16679,24200,24200,0,0,1
16647,24200,24200,0,0,1
16812,24200,24200,0,0,1
16743,24200,24200,0,0,1
16907,24200,24200,0,0,1
16640,24200,24200,0,0,1
17046,24200,24200,0,0,1
16729,24200,24200,0,0,1
16644,24200,24200,0,0,1
16770,24200,24200,0,0,1
17006,24200,24200,0,0,1
16768,24200,24200,0,0,1
16721,24200,24200,0,0,1
16646,24200,24200,0,0,1
16959,24200,24200,0,0,1
16669,24200,24200,0,0,1
16903,24200,18150,0,6050,1
16931,24200,24200,0,0,1
16653,24200,24200,0,0,1
16794,24200,24200,0,0,1
16821,24200,18150,0,6050,1
16703,24200,24200,0,0,1
16699,24200,24200,0,0,1
16947,24200,24200,0,0,1
16701,24200,24200,0,0,1
16656,24200,24200,0,0,1
16771,24200,24200,0,0,1
16673,24200,24200,0,0,1
16779,24200,23700,500,0,1
16705,24200,24200,0,0,1
16769,24200,24200,0,0,1
16641,24200,24200,0,0,1
16706,24200,24200,0,0,1
16885,24200,24200,0,0,1
16836,24200,12100,12100,0,1
16976,24200,24200,0,0,1
17068,24200,24200,0,0,1
16722,24200,24200,0,0,1
16776,24200,24200,0,0,1
16728,24200,24200,0,0,1
16740,24200,24200,0,0,1
17026,24200,24200,0,0,1
16547,29000,29000,0,0,1
16331,29000,0,0,29000,1
16365,29000,29000,0,0,1
16601,29000,29000,0,0,1
16954,29000,29000,0,0,1
16539,29000,29000,0,0,1
17086,29000,29000,0,0,1
17007,29000,29000,0,0,1
16473,29000,29000,0,0,1
16470,29000,29000,0,0,1
16946,29000,29000,0,0,1
16342,29000,29000,0,0,1
16518,29000,29000,0,0,1
17072,29000,29000,0,0,1
16643,29000,0,0,29000,1
16937,29000,29000,0,0,1
16753,29000,29000,0,0,1
16324,29000,28500,500,0,1
16636,29000,29000,0,0,1
17097,29000,29000,0,0,1
16606,29000,29000,0,0,1
17090,29000,0,0,29000,1
16631,29000,0,0,29000,1
16756,29000,29000,0,0,1
16759,29000,29000,0,0,1
16511,29000,0,0,29000,1
16936,29000,29000,0,0,1
16953,29000,29000,0,0,1
16585,29000,29000,0,0,1
16507,29000,21850,7150,0,1
16333,29000,29000,0,0,1
16758,29000,29000,0,0,1
16793,29000,29000,0,0,1
16494,29000,29000,0,0,1
16411,29000,29000,0,0,1
17138,29000,29000,0,0,1
17129,29000,0,0,29000,1
16421,29000,29000,0,0,1
16545,29000,29000,0,0,1
16944,29000,29000,0,0,1
16948,29000,29000,0,0,1
16534,29000,29000,0,0,1
16978,29000,29000,0,0,1
16350,29000,29000,0,0,1
16576,29000,21850,7150,0,1
16451,29000,29000,0,0,1
16517,29000,29000,0,0,1
16713,29000,29000,0,0,1
16409,29000,29000,0,0,1
16688,29000,29000,0,0,1
16974,29000,29000,0,0,1
16928,29000,29000,0,0,1
17050,29000,25000,4000,0,1
16471,29000,29000,0,0,1
16661,29000,29000,0,0,1
16633,29000,29000,0,0,1
16989,29000,29000,0,0,1
16565,29000,29000,0,0,1
16645,29000,29000,0,0,1
16393,29000,28500,500,0,1
17012,29000,29000,0,0,1
16533,29000,29000,0,0,1
16327,29000,29000,0,0,1
16927,29000,29000,0,0,1
17120,29000,0,0,29000,1
16586,29000,29000,0,0,1
16392,29000,29000,0,0,1
16744,29000,29000,0,0,1
16693,29000,29000,0,0,1
16487,29000,29000,0,0,1
17037,29000,29000,0,0,1
16834,29000,29000,0,0,1
17125,29000,21850,7150,0,1
16532,29000,29000,0,0,1
17119,29000,0,0,29000,1
16561,29000,29000,0,0,1
16672,29000,29000,0,0,1
16516,29000,29000,0,0,1
16807,29000,29000,0,0,1
16664,29000,29000,0,0,1
17038,29000,29000,0,0,1
16791,29000,29000,0,0,1
16334,29000,29000,0,0,1
17113,29000,29000,0,0,1
17052,29000,21850,7150,0,1
16754,29000,29000,0,0,1
16366,29000,29000,0,0,1
16612,29000,29000,0,0,1
16459,29000,29000,0,0,1
16864,29000,14700,14300,0,1
16414,29000,26000,3000,0,1
16338,29000,29000,0,0,1
16325,29000,29000,0,0,1
16323,29000,29000,0,0,1
17023,29000,29000,0,0,1
16434,29000,29000,0,0,1
16000,29000,29000,0,0,1
16980,29000,29000,0,0,1
16403,29000,29000,0,0,1
17088,29000,0,0,29000,1
16340,29000,28500,500,0,1
16598,29000,29000,0,0,1
16385,29000,29000,0,0,1
16605,29000,29000,0,0,1
16483,29000,14700,14300,0,1
16364,29000,0,0,29000,1
16551,29000,29000,0,0,1
16322,29000,29000,0,0,1
16877,29000,29000,0,0,1
16498,29000,29000,0,0,1
16762,29000,14700,14300,0,1
16335,29000,29000,0,0,1
16955,29000,29000,0,0,1
16390,29000,23000,6000,0,1
16748,29000,29000,0,0,1
16396,29000,29000,0,0,1
17079,29000,29000,0,0,1
16529,29000,29000,0,0,1
16329,29000,29000,0,0,1
17015,29000,29000,0,0,1
16349,29000,0,0,29000,1
16803,29000,29000,0,0,1
16567,29000,29000,0,0,1
16876,29000,29000,0,0,1
16530,29000,29000,0,0,1
16321,29000,29000,0,0,1
16446,29000,29000,0,0,1
16960,29000,29000,0,0,1
16538,29000,29000,0,0,1
16988,29000,29000,0,0,1
16347,29000,21850,7150,0,1
16346,29000,29000,0,0,1
16554,29000,29000,0,0,1
16838,29000,29000,0,0,1
16410,29000,29000,0,0,1
16519,29000,0,0,29000,1
16406,29000,29000,0,0,1
17121,29000,0,0,29000,1
16497,29000,29000,0,0,1
16992,29000,29000,0,0,1
16827,29000,29000,0,0,1
16361,29000,29000,0,0,1
16351,29000,29000,0,0,1
16405,29000,14700,14300,0,1
16824,29000,29000,0,0,1
16760,29000,29000,0,0,1
17058,29000,29000,0,0,1
16634,29000,29000,0,0,1
16509,29000,29000,0,0,1
16504,29000,29000,0,0,1
17091,29000,28500,500,0,1
16204,29000,29000,0,0,1
16540,29000,14700,14300,0,1
16012,29000,29000,0,0,1
16666,29000,29000,0,0,1
16716,29000,29000,0,0,1
16281,29000,29000,0,0,1
16658,29000,29000,0,0,1
16308,29000,29000,0,0,1
16513,29000,29000,0,0,1
16258,29000,29000,0,0,1
16353,29000,29000,0,0,1
16395,29000,29000,0,0,1
16683,29000,29000,0,0,1
16542,29000,29000,0,0,1
16102,29000,29000,0,0,1
16620,29000,29000,0,0,1
16500,29000,28500,500,0,1
16704,29000,29000,0,0,1
16449,29000,29000,0,0,1
16549,29000,0,0,29000,1
16268,29000,29000,0,0,1
16139,29000,29000,0,0,1
16112,29000,29000,0,0,1
16659,29000,29000,0,0,1
16128,29000,29000,0,0,1
17064,29000,29000,0,0,1
16686,29000,29000,0,0,1
16283,29000,29000,0,0,1
16341,29000,29000,0,0,1
16674,29000,29000,0,0,1
17020,29000,21850,7150,0,1
16015,29000,29000,0,0,1
16344,29000,29000,0,0,1
16381,29000,29000,0,0,1
16156,29000,29000,0,0,1
16822,29000,29000,0,0,1
16262,29000,29000,0,0,1
16140,29000,0,0,29000,1
17059,29000,29000,0,0,1
16380,29000,29000,0,0,1
15835,29000,29000,0,0,1
16479,29000,29000,0,0,1
17128,29000,29000,0,0,1
16818,29000,0,0,29000,1
17071,29000,29000,0,0,1
16276,29000,29000,0,0,1
16570,29000,29000,0,0,1
16356,29000,29000,0,0,1
17039,29000,29000,0,0,1
16343,29000,29000,0,0,1
16100,29000,29000,0,0,1
17032,29000,29000,0,0,1
17132,29000,29000,0,0,1
16205,29000,29000,0,0,1
16905,29000,0,0,29000,1
16316,29000,29000,0,0,1
16374,29000,24000,5000,0,1
16107,29000,29000,0,0,1
16259,29000,29000,0,0,1
16386,29000,29000,0,0,1
16025,29000,29000,0,0,1
16300,29000,29000,0,0,1
16248,29000,29000,0,0,1
16900,29000,29000,0,0,1
16142,29000,29000,0,0,1
16190,29000,29000,0,0,1
17028,29000,29000,0,0,1
16282,29000,29000,0,0,1
16265,29000,29000,0,0,1
16354,29000,29000,0,0,1
16694,29000,29000,0,0,1
16146,29000,29000,0,0,1
16557,29000,29000,0,0,1
16855,29000,29000,0,0,1
16355,29000,0,0,29000,1
16360,29000,14700,14300,0,1
16868,29000,29000,0,0,1
16668,29000,29000,0,0,1
16376,29000,29000,0,0,1
16437,29000,29000,0,0,1
16447,29000,29000,0,0,1
17135,29000,29000,0,0,1
16424,29000,29000,0,0,1
16552,29000,29000,0,0,1
16482,29000,29000,0,0,1
16306,29000,29000,0,0,1
16560,29000,14700,0,14300,1
16179,29000,24000,5000,0,1
16422,29000,29000,0,0,1
16717,29000,29000,0,0,1
16162,29000,29000,0,0,1
16600,29000,14700,14300,0,1
16442,29000,29000,0,0,1
16400,29000,29000,0,0,1
16665,29000,0,0,29000,1
16808,29000,29000,0,0,1
16702,29000,29000,0,0,1
16682,29000,29000,0,0,1
16690,29000,29000,0,0,1
16622,29000,29000,0,0,1
16336,29000,29000,0,0,1
16200,29000,21850,7150,0,1
16370,29000,29000,0,0,1
16358,29000,29000,0,0,1
17084,29000,29000,0,0,1
16379,29000,29000,0,0,1
16719,29000,29000,0,0,1
16833,29000,29000,0,0,1
16299,29000,29000,0,0,1
16148,29000,29000,0,0,1
16337,29000,29000,0,0,1
17060,29000,28500,500,0,1
16660,29000,29000,0,0,1
17147,29000,29000,0,0,1
16298,29000,29000,0,0,1
16034,30100,30100,0,0,1
16020,30100,30100,0,0,1
15979,30100,30100,0,0,1
15830,30100,30100,0,0,1
15711,30100,29600,500,0,1
16135,30100,30100,0,0,1
16550,30100,30100,0,0,1
16138,30100,30100,0,0,1
16888,30100,27100,3000,0,1
16016,30100,30100,0,0,1
16003,30100,30100,0,0,1
16389,30100,30100,0,0,1
15793,30100,30100,0,0,1
15946,30100,30100,0,0,1
16047,30100,30100,0,0,1
